Invoice,InvoiceDate,CustomerID,Country,StockCode,Description,Category,Quantity,Price,TotalLine
INV8765,2024-11-04,87321,Unknown,30987BI,Glass Bell Jar Display Dome,Home Decor & Furnishings,73,79.53,5805.6900000000005
INV5432,2024-11-04,15093,Saudi Arabia,56321AA,Knitted Sheep Hot Water Bottle Cover,Unknown Category,22,6.0,132.0
INV3456,2024-11-04,13767,Bahrain,65432CR,Keep Calm Fridge Magnet Set,Unknown Category,59,66.16,3903.4399999999996
INV1098,2024-11-04,69213,Unknown,65432AP,Rabbit Design Door Stop,Unknown Category,70,80.11,5607.7
INV1098,2024-11-04,58567,Cyprus,67890BY,Personalised Name Mug,Mugs & Drinkware,50,56.64,2832.0
INV1098,2024-11-04,58567,Australia,67890BY,Personalised Name Mug,Mugs & Drinkware,50,56.64,2832.0
INV1098,2024-11-04,50678,Australia,22045CW,Retro Spotty Storage Tin,Unknown Category,2,38.4,76.8
INV1098,2024-11-04,50678,Italy,22045CW,Retro Spotty Storage Tin,Unknown Category,2,38.4,76.8
INV1098,2024-11-04,50678,Finland,22045CW,Retro Spotty Storage Tin,Unknown Category,2,38.4,76.8
INV9012,2024-11-04,74567,Unknown,93207F,Set/4 Heart Shaped Coasters,Storage & Organization,20,86.72,1734.4
INV1098,2024-11-04,85321,Unknown,54321BW,Gnome Garden Statue Small,Garden & Outdoor,11,9.2,101.19999999999999
INV4567,2024-11-04,43210,Unknown,78543BJ,Set of 2 Silver Tealight Holders,Home Decor & Furnishings,74,67.86,5021.64
INV8765,2024-11-04,36472,Czech Republic,56321AS,Woven Picnic Hamper Basket,Gifts & Novelty Items,66,66.55,4392.3
INV7890,2024-11-04,83210,Sweden,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,70,86.98,6088.6
INV7890,2024-11-04,83210,United Kingdom,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,70,86.98,6088.6
INV7890,2024-11-04,83210,Japan,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,70,86.98,6088.6
INV7890,2024-11-04,83210,Iceland,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,70,86.98,6088.6
INV2190,2024-11-04,60678,Unknown,86420Q,Giant Wooden Game Dice,Kids & Toys,76,23.8,1808.8
INV9012,2024-11-04,58567,Cyprus,85123CF,Giant Polka Dot Beach Ball,Unknown Category,78,56.62,4416.36
INV9012,2024-11-04,58567,Australia,85123CF,Giant Polka Dot Beach Ball,Unknown Category,78,56.62,4416.36
INV8765,2024-11-04,54567,Hong Kong,12345AN,Pink Retro Spotty Shower Cap,Bath & Body,63,21.15,1332.4499999999998
INV9876,2024-11-05,46789,Unknown,71053D,Ceramic Cherry Blossom Mug,Kitchenware & Dining,74,97.12,7186.88
INV0987,2024-11-05,18118,USA,84406B,Vintage Union Jack Cushion Cover,Home Decor & Furnishings,71,76.3,5417.3
INV8765,2024-11-05,95321,Japan,97531R,Floral Print Fabric Gift Wrap,Unknown Category,17,87.28,1483.76
INV8765,2024-11-05,95321,United Kingdom,97531R,Floral Print Fabric Gift Wrap,Unknown Category,17,87.28,1483.76
INV0987,2024-11-05,17404,European Community,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,67,89.52,5997.84
INV0987,2024-11-05,17404,Saudi Arabia,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,67,89.52,5997.84
INV0987,2024-11-05,17404,Switzerland,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,67,89.52,5997.84
INV9876,2024-11-05,68567,Switzerland,67890W,Assorted Colour Glass Buttons,Gifts & Novelty Items,8,56.63,453.04
INV4321,2024-11-05,58567,Cyprus,22045CW,Retro Spotty Storage Tin,Unknown Category,6,38.4,230.39999999999998
INV4321,2024-11-05,58567,Australia,22045CW,Retro Spotty Storage Tin,Unknown Category,6,38.4,230.39999999999998
INV2190,2024-11-05,42678,Germany,97531BB,Red & White Gingham Tablecloth,Kitchenware & Dining,68,34.93,2375.24
INV1098,2024-11-05,22019,Germany,22045E,Mini Wooden Christmas Tree Decoration,Gifts & Novelty Items,2,65.93,131.86
INV1098,2024-11-05,22019,Netherlands,22045E,Mini Wooden Christmas Tree Decoration,Gifts & Novelty Items,2,65.93,131.86
INV7654,2024-11-05,90678,Sweden,12345BF,Rainbow Stripe Woven Rug,Textiles & Linens,7,7.87,55.09
INV7654,2024-11-05,90678,Japan,12345BF,Rainbow Stripe Woven Rug,Textiles & Linens,7,7.87,55.09
INV0987,2024-11-05,29583,Finland,93207F,Set/4 Heart Shaped Coasters,Storage & Organization,6,86.72,520.3199999999999
INV8901,2024-11-05,74567,Unknown,45678BU,Set/2 Striped Kitchen Aprons,Unknown Category,34,87.91,2988.94
INV0123,2024-11-05,32654,Unknown,78543Z,Wooden Happy Birthday Bunting,Home Decor & Furnishings,54,47.0,2538.0
INV2109,2024-11-05,53210,Unknown,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,33,86.98,2870.34
INV1234,2024-11-05,38564,Italy,65432BZ,Tiny Metal Suitcase Storage Box,Storage & Organization,44,87.78,3862.32
INV2345,2024-11-06,90678,Sweden,12345BX,Wooden Bird Feeder Kit,Garden & Outdoor,45,14.13,635.85
INV2345,2024-11-06,90678,Japan,12345BX,Wooden Bird Feeder Kit,Garden & Outdoor,45,14.13,635.85
INV0987,2024-11-06,22019,Germany,56321G,Blue Spotty Shopping Bag,Storage & Organization,63,27.17,1711.71
INV0987,2024-11-06,22019,Netherlands,56321G,Blue Spotty Shopping Bag,Storage & Organization,63,27.17,1711.71
INV6543,2024-11-06,24133,France,93207CV,Set/4 Coloured Ceramic Egg Cups,Unknown Category,51,98.48,5022.4800000000005
INV6543,2024-11-06,24133,Singapore,93207CV,Set/4 Coloured Ceramic Egg Cups,Unknown Category,51,98.48,5022.4800000000005
INV4321,2024-11-06,75321,Unknown,98765CN,Black & White Striped Rug,Textiles & Linens,6,61.52,369.12
INV3456,2024-11-06,27183,Greece,54321AM,Set/5 Enamel Kitchen Utensils,Kitchenware & Dining,56,12.31,689.36
INV2190,2024-11-06,15093,Saudi Arabia,65432J,Grow Your Own Basil Kit,Garden & Outdoor,66,2.48,163.68
INV5432,2024-11-06,21340,Hong Kong,24680AH,Large Canvas Storage Basket,Storage & Organization,50,56.62,2831.0
INV5432,2024-11-06,21340,Belgium,24680AH,Large Canvas Storage Basket,Storage & Organization,50,56.62,2831.0
INV0987,2024-11-06,90678,Sweden,78543BJ,Set of 2 Silver Tealight Holders,Home Decor & Furnishings,70,67.86,4750.2
INV0987,2024-11-06,90678,Japan,78543BJ,Set of 2 Silver Tealight Holders,Home Decor & Furnishings,70,67.86,4750.2
INV0987,2024-11-06,54567,Hong Kong,93207F,Set/4 Heart Shaped Coasters,Storage & Organization,50,86.72,4336.0
INV7654,2024-11-06,52789,USA,54321M,Set of 6 Christmas Crackers,Seasonal & Holiday,52,32.61,1695.72
INV7654,2024-11-06,52789,Belgium,54321M,Set of 6 Christmas Crackers,Seasonal & Holiday,52,32.61,1695.72
INV6543,2024-11-06,24133,France,13579AY,Blue Polka Dot Travel Mug,Bath & Body,58,33.99,1971.42
INV6543,2024-11-06,24133,Singapore,13579AY,Blue Polka Dot Travel Mug,Bath & Body,58,33.99,1971.42
INV5678,2024-11-06,91324,Switzerland,13579AY,Blue Polka Dot Travel Mug,Bath & Body,7,33.99,237.93
INV7654,2024-11-06,72789,Unknown,71053D,Ceramic Cherry Blossom Mug,Kitchenware & Dining,68,97.12,6604.16
INV9012,2024-11-06,79213,Unknown,85123BN,Set/4 Coloured Plastic Tumblers,Kitchenware & Dining,58,38.87,2254.46
INV8765,2024-11-07,52789,USA,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,60,86.98,5218.8
INV8765,2024-11-07,52789,Belgium,13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,60,86.98,5218.8
INV2109,2024-11-07,82789,Unknown,56321BK,Novelty Rubber Duck Bath Toy,Gifts & Novelty Items,80,28.55,2284.0
INV1234,2024-11-07,82789,Unknown,65432X,Retro Telephone Box Money Bank,Retro & Vintage,22,3.57,78.53999999999999
INV2345,2024-11-07,46789,Unknown,56321CU,Wooden Pegs In A Bag,Unknown Category,80,70.4,5632.0
INV8901,2024-11-07,85321,Unknown,78543CB,Rainbow Stripe Cotton Scarf,Textiles & Linens,6,67.84,407.04
INV4321,2024-11-07,87321,Unknown,65432CR,Keep Calm Fridge Magnet Set,Unknown Category,19,66.16,1257.04
INV2190,2024-11-07,77321,Unknown,56321AS,Woven Picnic Hamper Basket,Gifts & Novelty Items,4,66.55,266.2
INV4321,2024-11-07,34567,Unknown,85123A,Red Retrospot Storage Jar,Kitchenware & Dining,10,26.17,261.70000000000005
INV4321,2024-11-07,47321,RSA,71053AE,Green Retro Metal Dustbin,Unknown Category,70,58.08,4065.6
INV8765,2024-11-07,57321,Saudi Arabia,12345CP,Glass Skull Head Cocktail Mug,Gifts & Novelty Items,13,11.32,147.16
INV6543,2024-11-07,88567,Channel Islands,13579AY,Blue Polka Dot Travel Mug,Bath & Body,18,33.99,611.82
INV6543,2024-11-07,88567,Brazil,13579AY,Blue Polka Dot Travel Mug,Bath & Body,18,33.99,611.82
INV7654,2024-11-07,72789,Unknown,67890L,Pink Glitter Party Streamers,Jewellery & Accessories,41,48.83,2002.03
INV5432,2024-11-07,35109,RSA,30987I,Birdhouse Design Key Holder,Gifts & Novelty Items,40,41.69,1667.6
INV5432,2024-11-07,35109,Israel,30987I,Birdhouse Design Key Holder,Gifts & Novelty Items,40,41.69,1667.6
INV8765,2024-11-07,85321,Unknown,85123AD,Chalkboard Hanging Kitchen Sign,Wall Art & Signs,71,65.93,4681.030000000001
INV7654,2024-11-08,22019,Germany,78543H,French Blue Enamel Tea Pot,Kitchenware & Dining,28,50.58,1416.24
INV7654,2024-11-08,22019,Netherlands,78543H,French Blue Enamel Tea Pot,Kitchenware & Dining,28,50.58,1416.24
INV4321,2024-11-08,78567,Unknown,67890AO,Small Glass Water Carafe,Kitchenware & Dining,19,25.93,492.67
INV0987,2024-11-08,58567,Cyprus,22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,26,82.01,2132.26
INV0987,2024-11-08,58567,Australia,22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,26,82.01,2132.26
INV2190,2024-11-08,30117,United Kingdom,98765N,Retro Camera Pencil Sharpener,Stationery & Office,47,1.32,62.040000000000006
INV0987,2024-11-08,34567,Unknown,54321AM,Set/5 Enamel Kitchen Utensils,Kitchenware & Dining,26,12.31,320.06
INV6543,2024-11-08,91324,Switzerland,78543CT,Green Leaf Print Window Film,Textiles & Linens,22,45.96,1011.12
INV5432,2024-11-08,61324,Czech Republic,12345AN,Pink Retro Spotty Shower Cap,Bath & Body,67,21.15,1417.05
INV5432,2024-11-08,61324,RSA,12345AN,Pink Retro Spotty Shower Cap,Bath & Body,67,21.15,1417.05
INV5432,2024-11-08,61324,Brazil,12345AN,Pink Retro Spotty Shower Cap,Bath & Body,67,21.15,1417.05
INV4321,2024-11-08,82789,Unknown,12345K,Garden Swing Metal Sign,Garden & Outdoor,13,34.37,446.80999999999995
INV7654,2024-11-08,45321,Bahrain,98765N,Retro Camera Pencil Sharpener,Stationery & Office,38,1.32,50.160000000000004
INV4321,2024-11-08,53210,Unknown,56321G,Blue Spotty Shopping Bag,Storage & Organization,69,27.17,1874.73
INV5432,2024-11-08,81324,Unknown,54321BW,Gnome Garden Statue Small,Garden & Outdoor,54,9.2,496.79999999999995
INV4567,2024-11-08,66789,Unknown,12345BF,Rainbow Stripe Woven Rug,Textiles & Linens,62,7.87,487.94
INV2109,2024-11-08,70678,Unknown,56321AA,Knitted Sheep Hot Water Bottle Cover,Unknown Category,2,6.0,12.0
INV2190,2024-11-08,98567,Unknown,84406BP,Miniature Terracotta Plant Pots,Garden & Outdoor,24,37.94,910.56
INV7654,2024-11-09,51324,European Community,97531BT,Flamingo Print Woven Purse,Unknown Category,52,9.8,509.6
INV7890,2024-11-09,32654,Unknown,78543CT,Green Leaf Print Window Film,Textiles & Linens,41,45.96,1884.3600000000001
INV6789,2024-11-09,13047,Unknown,12345CP,Glass Skull Head Cocktail Mug,Gifts & Novelty Items,56,11.32,633.9200000000001
INV7654,2024-11-09,45321,Bahrain,85123A,Red Retrospot Storage Jar,Kitchenware & Dining,77,26.17,2015.0900000000001
INV0987,2024-11-09,48567,Channel Islands,98765BV,Large Blue Ceramic Serving Bowl,Unknown Category,19,69.76,1325.44
INV7890,2024-11-09,26710,United Arab Emirates,93207F,Set/4 Heart Shaped Coasters,Storage & Organization,54,86.72,4682.88
INV7890,2024-11-09,26710,RSA,93207F,Set/4 Heart Shaped Coasters,Storage & Organization,54,86.72,4682.88
INV7890,2024-11-09,26710,Italy,93207F,Set/4 Heart Shaped Coasters,Storage & Organization,54,86.72,4682.88
INV8765,2024-11-09,91324,Switzerland,98765N,Retro Camera Pencil Sharpener,Stationery & Office,24,1.32,31.68
INV1234,2024-11-09,53210,Unknown,22045CE,Set/3 Pastel Coloured Baskets,Unknown Category,35,69.65,2437.75
INV1098,2024-11-09,70678,Unknown,85123AV,Union Jack Flag Beach Towel,Textiles & Linens,58,56.35,3268.3
INV4321,2024-11-09,92789,Austria,84406AF,Set of 12 Coloured Pencils,Stationery & Office,7,3.75,26.25
INV4321,2024-11-09,92789,Norway,84406AF,Set of 12 Coloured Pencils,Stationery & Office,7,3.75,26.25
INV4321,2024-11-09,92789,EIRE,84406AF,Set of 12 Coloured Pencils,Stationery & Office,7,3.75,26.25
INV4321,2024-11-09,85321,Unknown,56321BK,Novelty Rubber Duck Bath Toy,Gifts & Novelty Items,46,28.55,1313.3
INV2109,2024-11-09,38564,Italy,56321CU,Wooden Pegs In A Bag,Unknown Category,21,70.4,1478.4
INV9876,2024-11-09,57321,Saudi Arabia,93207AT,Set/3 Retro Wooden Spoons,Unknown Category,37,16.15,597.55
INV0987,2024-11-09,27183,Greece,56321AS,Woven Picnic Hamper Basket,Gifts & Novelty Items,67,66.55,4458.849999999999
INV2190,2024-11-10,79213,Unknown,86420BA,Miniature Ceramic Toadstool Set,Seasonal & Holiday,23,69.28,1593.44
INV4321,2024-11-10,81324,Unknown,67890L,Pink Glitter Party Streamers,Jewellery & Accessories,7,48.83,341.81
INV7654,2024-11-10,37210,Malta,84406BP,Miniature Terracotta Plant Pots,Garden & Outdoor,48,37.94,1821.12
INV2190,2024-11-10,83210,Sweden,97531AJ,Ceramic Bathroom Set (4 Piece),Bath & Body,80,49.36,3948.8
INV2190,2024-11-10,83210,United Kingdom,97531AJ,Ceramic Bathroom Set (4 Piece),Bath & Body,80,49.36,3948.8
INV2190,2024-11-10,83210,Japan,97531AJ,Ceramic Bathroom Set (4 Piece),Bath & Body,80,49.36,3948.8
INV2190,2024-11-10,83210,Iceland,97531AJ,Ceramic Bathroom Set (4 Piece),Bath & Body,80,49.36,3948.8
INV5432,2024-11-10,30117,United Kingdom,56321CC,Silver Plated Cake Slice,Retro & Vintage,75,60.01,4500.75
INV5678,2024-11-10,71324,Unknown,93207CV,Set/4 Coloured Ceramic Egg Cups,Unknown Category,78,98.48,7681.4400000000005
INV0987,2024-11-10,90678,Sweden,71053AW,Giant Pencil Eraser Set,Stationery & Office,28,61.15,1712.2
INV0987,2024-11-10,90678,Japan,71053AW,Giant Pencil Eraser Set,Stationery & Office,28,61.15,1712.2
INV1098,2024-11-10,71324,Unknown,86420Q,Giant Wooden Game Dice,Kids & Toys,2,23.8,47.6
INV0987,2024-11-10,69213,Unknown,45678S,Black Skull & Crossbone Lunch Box,Travel Accessories,57,39.38,2244.6600000000003
INV7890,2024-11-10,32654,Unknown,22045AU,Metal Butterfly Garden Ornament,Home Decor & Furnishings,34,92.65,3150.1000000000004
INV6543,2024-11-10,31245,Unknown,56321AS,Woven Picnic Hamper Basket,Gifts & Novelty Items,78,66.55,5190.9
INV8765,2024-11-10,55321,Denmark,84406AX,Orange & Yellow Stripe Throw,Home Decor & Furnishings,34,89.52,3043.68
INV4321,2024-11-10,13047,Unknown,54321AM,Set/5 Enamel Kitchen Utensils,Kitchenware & Dining,73,12.31,898.63
INV1098,2024-11-10,95321,Japan,97531BB,Red & White Gingham Tablecloth,Kitchenware & Dining,48,34.93,1676.6399999999999
INV1098,2024-11-10,95321,United Kingdom,97531BB,Red & White Gingham Tablecloth,Kitchenware & Dining,48,34.93,1676.6399999999999
INV2190,2024-11-11,99213,RSA,56321AS,Woven Picnic Hamper Basket,Gifts & Novelty Items,49,66.55,3260.95
INV7654,2024-11-11,42678,Germany,86420BA,Miniature Ceramic Toadstool Set,Seasonal & Holiday,50,69.28,3464.0
INV0987,2024-11-11,21340,Hong Kong,98765CN,Black & White Striped Rug,Textiles & Linens,1,61.52,61.52
INV0987,2024-11-11,21340,Belgium,98765CN,Black & White Striped Rug,Textiles & Linens,1,61.52,61.52
INV6543,2024-11-11,70678,Unknown,65432BH,Gold Star Confetti Pack,Gifts & Novelty Items,17,51.57,876.69
INV4321,2024-11-11,22019,Germany,22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,30,82.01,2460.3
INV4321,2024-11-11,22019,Netherlands,22045AC,Silver Plated Photo Frame 5x7,Home Decor & Furnishings,30,82.01,2460.3
INV2109,2024-11-11,98567,Unknown,54321BE,Metal Wall Art World Map,Wall Art & Signs,43,75.86,3261.98
INV1098,2024-11-11,16921,Unknown,67890L,Pink Glitter Party Streamers,Jewellery & Accessories,2,48.83,97.66
INV2190,2024-11-11,77321,Unknown,56321BK,Novelty Rubber Duck Bath Toy,Gifts & Novelty Items,26,28.55,742.3000000000001
INV8765,2024-11-11,53210,Unknown,56321CU,Wooden Pegs In A Bag,Unknown Category,19,70.4,1337.6000000000001
INV2109,2024-11-11,13767,Bahrain,45678BC,Set/6 Vintage Wine Labels,Gifts & Novelty Items,51,85.53,4362.03
INV6543,2024-11-11,98567,Unknown,13579BQ,Green Floral Garden Gloves,Garden & Outdoor,39,6.78,264.42
INV6543,2024-11-11,13767,Bahrain,86420BS,Yellow Submarine Lunch Bag,Travel Accessories,25,58.07,1451.75
INV8765,2024-11-11,66789,Unknown,67890AO,Small Glass Water Carafe,Kitchenware & Dining,17,25.93,440.81
INV7654,2024-11-11,66789,Unknown,24680AH,Large Canvas Storage Basket,Storage & Organization,6,56.62,339.71999999999997
INV0987,2024-11-12,51324,European Community,98765T,Small Antique White Lantern,Home Decor & Furnishings,26,27.8,722.8000000000001
INV5432,2024-11-12,68567,Switzerland,86420CK,Pineapple Shaped Trinket Dish,Storage & Organization,74,75.66,5598.84
INV1098,2024-11-12,98567,Unknown,12345CP,Glass Skull Head Cocktail Mug,Gifts & Novelty Items,21,11.32,237.72
INV5432,2024-11-12,68567,Switzerland,12345CP,Glass Skull Head Cocktail Mug,Gifts & Novelty Items,46,11.32,520.72
INV8901,2024-11-12,20139,Brazil,86420BA,Miniature Ceramic Toadstool Set,Seasonal & Holiday,78,69.28,5403.84
INV8901,2024-11-12,20139,Lebanon,86420BA,Miniature Ceramic Toadstool Set,Seasonal & Holiday,78,69.28,5403.84
INV1098,2024-11-12,25376,Spain,24680CJ,Small Woven Laundry Hamper,Storage & Organization,17,64.1,1089.6999999999998
